State,City,Overall Percentile Rank,,Address,36.5677206,139.9033588
Florida,Highland Beach,0,,"Highland Beach, Florida",0,0
Kansas,Lebo,0,,"Lebo, Kansas",0,0
Kansas,Clearwater,0,,"Clearwater, Kansas",0,0
Ohio,Buckeye Lake,0,,"Buckeye Lake, Ohio",0,0
Minnesota,St Bonifacius,0,,"St Bonifacius, Minnesota",0,0
Illinois,Robinson,77,,"Robinson, Illinois",0,0
Michigan,Jonesville,0,,"Jonesville, Michigan",0,0
Pennsylvania,East Bangor,0,,"East Bangor, Pennsylvania",0,0
Kentucky,Hurstbourne Acres,0,,"Hurstbourne Acres, Kentucky",0,0
New Jersey,Ogdensburg,0,,"Ogdensburg, New Jersey",0,0
Kentucky,Olive Hill,18,,"Olive Hill, Kentucky",0,0
Michigan,Kingsley,0,,"Kingsley, Michigan",0,0
California,Danville,0,,"Danville, California",0,0
Washington,Prosser,0,,"Prosser, Washington",0,0
Alaska,Galena,0,,"Galena, Alaska",0,0
Pennsylvania,East Stroudsburg,0,,"East Stroudsburg, Pennsylvania",0,0
California,Hidden Hills,53,,"Hidden Hills, California",0,0
Colorado,Kiowa,0,,"Kiowa, Colorado",0,0
Kansas,Lebo,0,,"Lebo, Kansas",0,0
Kansas,Kingman,0,,"Kingman, Kansas",0,0
Pennsylvania,Grove City,0,,"Grove City, Pennsylvania",0,0
Washington,West Richland,0,,"West Richland, Washington",0,0
Ohio,Ohio City,0,,"Ohio City, Ohio",0,0
Tennessee,Lakesite,0,,"Lakesite, Tennessee",0,0
California,Atwater,0,,"Atwater, California",0,0
Minnesota,Isanti,0,,"Isanti, Minnesota",0,0
Kansas,Jetmore,0,,"Jetmore, Kansas",0,0
Oklahoma,Chouteau,0,,"Chouteau, Oklahoma",0,0
Wisconsin,Richfield,0,,"Richfield, Wisconsin",0,0
Texas,Hackberry,0,,"Hackberry, Texas",0,0
Oklahoma,Stuart,0,,"Stuart, Oklahoma",0,0
Washington,Sedro Woolley,0,,"Sedro Woolley, Washington",0,0
Oklahoma,Corn,74,,"Corn, Oklahoma",0,0
Missouri,Mound City,0,,"Mound City, Missouri",0,0
Ohio,Grandview Heights,0,,"Grandview Heights, Ohio",0,0
New Jersey,Asbury Park,0,,"Asbury Park, New Jersey",0,0
New Jersey,Riverdale,0,,"Riverdale, New Jersey",0,0
California,Livingston,0,,"Livingston, California",0,0
Maryland,Brunswick,0,,"Brunswick, Maryland",0,0
Tennessee,Lakesite,0,,"Lakesite, Tennessee",0,0
Ohio,Circleville,0,,"Circleville, Ohio",0,0
Illinois,Clay City,61,,"Clay City, Illinois",0,0
Illinois,Mason City,0,,"Mason City, Illinois",0,0
Illinois,Durand,0,,"Durand, Illinois",0,0
Louisiana,Homer,0,,"Homer, Louisiana",0,0
Ohio,Kirtland,0,,"Kirtland, Ohio",0,0
Illinois,Watseka,0,,"Watseka, Illinois",0,0
Missouri,Kirkwood,0,,"Kirkwood, Missouri",0,0
Missouri,Willard,0,,"Willard, Missouri",0,0
Oregon,Cave Junction,0,,"Cave Junction, Oregon",0,0
Kansas,Washington,0,,"Washington, Kansas",0,0
Minnesota,Brooten,0,,"Brooten, Minnesota",0,0
Ohio,Oakwood,0,,"Oakwood, Ohio",0,0
Mississippi,Olive Branch,0,,"Olive Branch, Mississippi",0,0
Ohio,Fairview Park,0,,"Fairview Park, Ohio",0,0
West Virginia,Hamlin,0,,"Hamlin, West Virginia",0,0
Ohio,North Royalton,0,,"North Royalton, Ohio",0,0
Kansas,Scranton,0,,"Scranton, Kansas",0,0
Missouri,Weldon Spring,0,,"Weldon Spring, Missouri",0,0
Mississippi,Grenada,0,,"Grenada, Mississippi",0,0
Florida,Haverhill,16,,"Haverhill, Florida",0,0
Missouri,Osage Beach,0,,"Osage Beach, Missouri",0,0
Montana,Dillon,0,,"Dillon, Montana",0,0
Washington,Lake Stevens,0,,"Lake Stevens, Washington",0,0
Washington,Tieton,0,,"Tieton, Washington",0,0
Tennessee,La Vergne,0,,"La Vergne, Tennessee",0,0
Minnesota,Windom,0,,"Windom, Minnesota",0,0
New York,Salamanca,0,,"Salamanca, New York",0,0
Texas,Kerens,0,,"Kerens, Texas",0,0
Tennessee,La Vergne,0,,"La Vergne, Tennessee",0,0
Pennsylvania,Brownstown,0,,"Brownstown, Pennsylvania",0,0
Arkansas,Altheimer,0,,"Altheimer, Arkansas",0,0
Louisiana,Rosepine,0,,"Rosepine, Louisiana",0,0
New York,Elmira,0,,"Elmira, New York",0,0
Pennsylvania,Archbald,0,,"Archbald, Pennsylvania",0,0
New Jersey,Manville,0,,"Manville, New Jersey",0,0
Pennsylvania,Ambridge,0,,"Ambridge, Pennsylvania",0,0
California,Montague,58,,"Montague, California",0,0
Montana,Livingston,0,,"Livingston, Montana",0,0
New Jersey,Alpha,0,,"Alpha, New Jersey",0,0
Tennessee,Winfield,0,,"Winfield, Tennessee",0,0
Minnesota,Carlton,0,,"Carlton, Minnesota",0,0
Ohio,Thornville,0,,"Thornville, Ohio",0,0
New York,Sag Harbor,0,,"Sag Harbor, New York",0,0
Georgia,Watkinsville,0,,"Watkinsville, Georgia",0,0
Ohio,Wintersville,0,,"Wintersville, Ohio",0,0
Tennessee,Huntsville,0,,"Huntsville, Tennessee",0,0
Iowa,Wellsburg,0,,"Wellsburg, Iowa",0,0
Alaska,Wrangell,0,,"Wrangell, Alaska",0,0
Florida,Waldo,0,,"Waldo, Florida",0,0
Indiana,Elwood,58,,"Elwood, Indiana",0,0
Oklahoma,Meeker,0,,"Meeker, Oklahoma",0,0
Arkansas,Mammoth Spring,0,,"Mammoth Spring, Arkansas",0,0
California,Lafayette,0,,"Lafayette, California",0,0
Utah,Henefer,0,,"Henefer, Utah",0,0
California,Crescent City,0,,"Crescent City, California",0,0
Nebraska,Tecumseh,0,,"Tecumseh, Nebraska",0,0
Utah,Mona,0,,"Mona, Utah",0,0
Missouri,Marlborough,0,,"Marlborough, Missouri",0,0
Tennessee,Watertown,0,,"Watertown, Tennessee",0,0
Illinois,Matherville,0,,"Matherville, Illinois",0,0
Kansas,Lyndon,0,,"Lyndon, Kansas",0,0
Ohio,Somerset,0,,"Somerset, Ohio",0,0
Alaska,Palmer,0,,"Palmer, Alaska",0,0
Oklahoma,Allen,0,,"Allen, Oklahoma",0,0
Indiana,Greenfield,0,,"Greenfield, Indiana",0,0
Ohio,Sylvania,0,,"Sylvania, Ohio",0,0
Ohio,St Paris,0,,"St Paris, Ohio",0,0
New Jersey,Morristown,0,,"Morristown, New Jersey",0,0
Ohio,Ontario,0,,"Ontario, Ohio",0,0
Iowa,Buffalo Center,0,,"Buffalo Center, Iowa",0,0
Missouri,Stockton,78,,"Stockton, Missouri",0,0
Ohio,Olmsted Falls,0,,"Olmsted Falls, Ohio",0,0
Nebraska,Kearney,0,,"Kearney, Nebraska",0,0
Illinois,Grandview,0,,"Grandview, Illinois",0,0
Texas,Sunset Valley,0,,"Sunset Valley, Texas",0,0
Louisiana,Basile,0,,"Basile, Louisiana",0,0
Ohio,Fort Shawnee,0,,"Fort Shawnee, Ohio",0,0
Pennsylvania,North East,0,,"North East, Pennsylvania",0,0
Iowa,Asbury,0,,"Asbury, Iowa",0,0
Florida,Hawthorne,0,,"Hawthorne, Florida",0,0
Iowa,Remsen,0,,"Remsen, Iowa",0,0
Tennessee,Arlington,0,,"Arlington, Tennessee",0,0
Kansas,Jetmore,0,,"Jetmore, Kansas",0,0
New Jersey,Runnemede,0,,"Runnemede, New Jersey",0,0
Tennessee,Arlington,0,,"Arlington, Tennessee",0,0
Illinois,Bull Valley,0,,"Bull Valley, Illinois",0,0
California,Los Banos,0,,"Los Banos, California",0,0
Illinois,Roanoke,58,,"Roanoke, Illinois",0,0
Louisiana,Roseland,0,,"Roseland, Louisiana",0,0
Texas,George West,0,,"George West, Texas",0,0
Indiana,Decatur,63,,"Decatur, Indiana",0,0
Michigan,Olivet,0,,"Olivet, Michigan",0,0
Missouri,Bonne Terre,0,,"Bonne Terre, Missouri",0,0
Indiana,Greenwood,72,,"Greenwood, Indiana",0,0
Ohio,Springdale,0,,"Springdale, Ohio",0,0
West Virginia,Ceredo,0,,"Ceredo, West Virginia",0,0
Colorado,Collbran,0,,"Collbran, Colorado",0,0
Mississippi,Carthage,0,,"Carthage, Mississippi",0,0
Pennsylvania,Wind Gap,0,,"Wind Gap, Pennsylvania",0,0
Colorado,Montrose,0,,"Montrose, Colorado",0,0
Nebraska,Pierce,0,,"Pierce, Nebraska",0,0
Pennsylvania,Mount Union,0,,"Mount Union, Pennsylvania",0,0
Michigan,Perry,0,,"Perry, Michigan",0,0
Pennsylvania,Conway,0,,"Conway, Pennsylvania",0,0
Kansas,Edwardsville,0,,"Edwardsville, Kansas",0,0
Mississippi,Byram,0,,"Byram, Mississippi",0,0
New Jersey,Union Beach,0,,"Union Beach, New Jersey",0,0
Ohio,Attica,0,,"Attica, Ohio",0,0
Tennessee,Powells Crossroads,0,,"Powells Crossroads, Tennessee",0,0
Ohio,Waterville,0,,"Waterville, Ohio",0,0
Indiana,Winfield,0,,"Winfield, Indiana",0,0
New Jersey,Tenafly,0,,"Tenafly, New Jersey",0,0
Pennsylvania,Pleasantville,0,,"Pleasantville, Pennsylvania",0,0
Wisconsin,Prairie Du Chien,0,,"Prairie Du Chien, Wisconsin",0,0
New York,Lake George,0,,"Lake George, New York",0,0
New Jersey,Beverly,0,,"Beverly, New Jersey",0,0
Iowa,Leon,0,,"Leon, Iowa",0,0
Minnesota,Elko New Market,0,,"Elko New Market, Minnesota",0,0
Louisiana,Bernice,0,,"Bernice, Louisiana",0,0
Georgia,Blythe,0,,"Blythe, Georgia",0,0
Pennsylvania,West Conshohocken,0,,"West Conshohocken, Pennsylvania",0,0
Missouri,Fair Grove,0,,"Fair Grove, Missouri",0,0
Pennsylvania,Birdsboro,0,,"Birdsboro, Pennsylvania",0,0
Arkansas,Camden,0,,"Camden, Arkansas",0,0
Kansas,Edwardsville,0,,"Edwardsville, Kansas",0,0
North Carolina,Claremont,0,,"Claremont, North Carolina",0,0
Ohio,Dennison,0,,"Dennison, Ohio",0,0
Washington,Ilwaco,0,,"Ilwaco, Washington",0,0
Colorado,Breckenridge,0,,"Breckenridge, Colorado",0,0
Pennsylvania,Media,0,,"Media, Pennsylvania",0,0
Iowa,Huxley,0,,"Huxley, Iowa",0,0
Ohio,Oak Harbor,0,,"Oak Harbor, Ohio",0,0
Florida,Hawthorne,0,,"Hawthorne, Florida",0,0
Missouri,Greenwood,0,,"Greenwood, Missouri",0,0
Florida,Juno Beach,38,,"Juno Beach, Florida",0,0
Wisconsin,Mcfarland,90,,"Mcfarland, Wisconsin",0,0
Georgia,Tyrone,84,,"Tyrone, Georgia",0,0
New York,Nissequogue,0,,"Nissequogue, New York",0,0
Texas,Timpson,0,,"Timpson, Texas",0,0
Illinois,Rosiclare,0,,"Rosiclare, Illinois",0,0
Indiana,Waterloo,57,,"Waterloo, Indiana",0,0
Ohio,Urbana,0,,"Urbana, Ohio",0,0
Pennsylvania,Langhorne,0,,"Langhorne, Pennsylvania",0,0
New York,Oswego,0,,"Oswego, New York",0,0
Kansas,Hutchinson,0,,"Hutchinson, Kansas",0,0
New Jersey,Tinton Falls,0,,"Tinton Falls, New Jersey",0,0
Vermont,Winooski,0,,"Winooski, Vermont",0,0
New Jersey,Interlaken,0,,"Interlaken, New Jersey",0,0
Michigan,Concord,0,,"Concord, Michigan",0,0
Georgia,Bogart,0,,"Bogart, Georgia",0,0
Pennsylvania,St Lawrence,0,,"St Lawrence, Pennsylvania",0,0
Ohio,Canal Winchester,0,,"Canal Winchester, Ohio",0,0
Louisiana,Marksville,0,,"Marksville, Louisiana",0,0
California,Tiburon,23,,"Tiburon, California",0,0
Florida,White Springs,0,,"White Springs, Florida",0,0
Alabama,Elberta,0,,"Elberta, Alabama",0,0
Colorado,Littleton,0,,"Littleton, Colorado",0,0
Minnesota,Trimont,0,,"Trimont, Minnesota",0,0
Kansas,Bonner Springs,0,,"Bonner Springs, Kansas",0,0
Texas,Stanton,0,,"Stanton, Texas",0,0
Minnesota,Lakefield,0,,"Lakefield, Minnesota",0,0
Kansas,Bonner Springs,0,,"Bonner Springs, Kansas",0,0
Pennsylvania,Leechburg,0,,"Leechburg, Pennsylvania",0,0
Illinois,Mount Sterling,0,,"Mount Sterling, Illinois",0,0
Pennsylvania,Connellsville,0,,"Connellsville, Pennsylvania",0,0
California,La Habra Heights,0,,"La Habra Heights, California",0,0
Ohio,Georgetown,0,,"Georgetown, Ohio",0,0
New York,Pleasantville,0,,"Pleasantville, New York",0,0
Indiana,Ellettsville,54,,"Ellettsville, Indiana",0,0
Indiana,Oxford,0,,"Oxford, Indiana",0,0
Ohio,Avon Lake,0,,"Avon Lake, Ohio",0,0
New Jersey,Lavallette,0,,"Lavallette, New Jersey",0,0
West Virginia,Wayne,0,,"Wayne, West Virginia",0,0
Florida,Montverde,0,,"Montverde, Florida",0,0
Ohio,Byesville,0,,"Byesville, Ohio",0,0
Pennsylvania,West Reading,0,,"West Reading, Pennsylvania",0,0
Florida,Hawthorne,0,,"Hawthorne, Florida",0,0
California,Monte Sereno,0,,"Monte Sereno, California",0,0
Ohio,Galion,0,,"Galion, Ohio",0,0
Illinois,Morrisonville,0,,"Morrisonville, Illinois",0,0
New York,Rensselaer,0,,"Rensselaer, New York",0,0
Pennsylvania,Greencastle,0,,"Greencastle, Pennsylvania",0,0
Iowa,Story City,0,,"Story City, Iowa",0,0
South Dakota,Custer,0,,"Custer, South Dakota",0,0
Louisiana,Clinton,0,,"Clinton, Louisiana",0,0
Mississippi,Crenshaw,0,,"Crenshaw, Mississippi",0,0
Ohio,Franklin,0,,"Franklin, Ohio",0,0
South Carolina,Belton,0,,"Belton, South Carolina",0,0
Minnesota,Renville,0,,"Renville, Minnesota",0,0
Texas,Simonton,0,,"Simonton, Texas",0,0
Arkansas,Hoxie,0,,"Hoxie, Arkansas",0,0
California,Citrus Heights,65,,"Citrus Heights, California",0,0
Ohio,Powhatan Point,0,,"Powhatan Point, Ohio",0,0
Pennsylvania,Mount Holly Springs,0,,"Mount Holly Springs, Pennsylvania",0,0
Ohio,Zanesville,0,,"Zanesville, Ohio",0,0
Ohio,Batavia,0,,"Batavia, Ohio",0,0
Kansas,Lakin,0,,"Lakin, Kansas",0,0
Georgia,Young Harris,0,,"Young Harris, Georgia",0,0
Iowa,Missouri Valley,0,,"Missouri Valley, Iowa",0,0
Ohio,Lincoln Heights,0,,"Lincoln Heights, Ohio",0,0
Kansas,Wellington,0,,"Wellington, Kansas",0,0
Indiana,Richmond,0,,"Richmond, Indiana",0,0
New York,East Hills,0,,"East Hills, New York",0,0
Pennsylvania,Centerville,0,,"Centerville, Pennsylvania",0,0
New Hampshire,Franklin,0,,"Franklin, New Hampshire",0,0
Kentucky,Olive Hill,18,,"Olive Hill, Kentucky",0,0
Pennsylvania,Laflin,0,,"Laflin, Pennsylvania",0,0
Iowa,Lake Park,0,,"Lake Park, Iowa",0,0
Missouri,Canton,91,,"Canton, Missouri",0,0
Pennsylvania,Jermyn,0,,"Jermyn, Pennsylvania",0,0
Pennsylvania,Shippensburg,0,,"Shippensburg, Pennsylvania",0,0
Iowa,Colo,0,,"Colo, Iowa",0,0
Iowa,Guthrie Center,0,,"Guthrie Center, Iowa",0,0
Pennsylvania,Central City,0,,"Central City, Pennsylvania",0,0
New Jersey,Fair Haven,0,,"Fair Haven, New Jersey",0,0
Michigan,Otisville,0,,"Otisville, Michigan",0,0
California,Woodside,0,,"Woodside, California",0,0
Michigan,Clarkston,0,,"Clarkston, Michigan",0,0
Iowa,Greene,0,,"Greene, Iowa",0,0
Pennsylvania,Ben Avon,0,,"Ben Avon, Pennsylvania",0,0
Minnesota,Delano,0,,"Delano, Minnesota",0,0
Kansas,Wamego,0,,"Wamego, Kansas",0,0
Mississippi,Vardaman,0,,"Vardaman, Mississippi",0,0
Colorado,Trinidad,0,,"Trinidad, Colorado",0,0
Pennsylvania,Eldred,0,,"Eldred, Pennsylvania",0,0
Missouri,Houston,0,,"Houston, Missouri",0,0
Maine,Rockland,0,,"Rockland, Maine",0,0
Florida,Jennings,0,,"Jennings, Florida",0,0
Indiana,Princes Lakes,0,,"Princes Lakes, Indiana",0,0
Pennsylvania,Collegeville,0,,"Collegeville, Pennsylvania",0,0
Ohio,Marysville,0,,"Marysville, Ohio",0,0
Oregon,Dunes,91,,"Dunes, Oregon",0,0
Oklahoma,Dickson,0,,"Dickson, Oklahoma",0,0
West Virginia,Cedar Grove,0,,"Cedar Grove, West Virginia",0,0
Minnesota,Lake Shore,0,,"Lake Shore, Minnesota",0,0
Arkansas,Farmington,0,,"Farmington, Arkansas",0,0
New Jersey,Clinton,0,,"Clinton, New Jersey",0,0
Louisiana,Anacoco,0,,"Anacoco, Louisiana",0,0
Kansas,Wyandotte County And Kansas City,0,,"Wyandotte County And Kansas City, Kansas",0,0
West Virginia,Granville,0,,"Granville, West Virginia",0,0
Pennsylvania,Vandling,0,,"Vandling, Pennsylvania",0,0
Pennsylvania,Seven Fields,0,,"Seven Fields, Pennsylvania",0,0
Maryland,Forest Heights,0,,"Forest Heights, Maryland",0,0
Michigan,Morrice,0,,"Morrice, Michigan",0,0
Iowa,Newell,0,,"Newell, Iowa",0,0
Tennessee,New Hope,0,,"New Hope, Tennessee",0,0
Texas,Weston Lakes,0,,"Weston Lakes, Texas",0,0
Nebraska,Rushville,0,,"Rushville, Nebraska",0,0
South Carolina,Kiawah Island,8,,"Kiawah Island, South Carolina",0,0
Indiana,Greencastle,0,,"Greencastle, Indiana",0,0
Oregon,Siletz,0,,"Siletz, Oregon",0,0
Arkansas,Waldo,0,,"Waldo, Arkansas",0,0
Missouri,Waverly,0,,"Waverly, Missouri",0,0
Alabama,Midland City,0,,"Midland City, Alabama",0,0
Iowa,New London,0,,"New London, Iowa",0,0
Pennsylvania,Shamokin Dam,0,,"Shamokin Dam, Pennsylvania",0,0
Ohio,Loveland,0,,"Loveland, Ohio",0,0
Pennsylvania,Shillington,0,,"Shillington, Pennsylvania",0,0
Washington,Grandview,0,,"Grandview, Washington",0,0
Pennsylvania,Gilberton,0,,"Gilberton, Pennsylvania",0,0
Pennsylvania,Blakely,0,,"Blakely, Pennsylvania",0,0
Louisiana,Basile,0,,"Basile, Louisiana",0,0
Idaho,Cottonwood,0,,"Cottonwood, Idaho",0,0
Michigan,Fennville,0,,"Fennville, Michigan",0,0
Vermont,Barton,0,,"Barton, Vermont",0,0
Georgia,Lumber City,95,,"Lumber City, Georgia",0,0
Tennessee,Mason,0,,"Mason, Tennessee",0,0
Pennsylvania,Portage,0,,"Portage, Pennsylvania",0,0
Minnesota,Henning,0,,"Henning, Minnesota",0,0
New Jersey,Westwood,0,,"Westwood, New Jersey",0,0
Pennsylvania,Hastings,0,,"Hastings, Pennsylvania",0,0
Louisiana,Albany,0,,"Albany, Louisiana",0,0
Michigan,Calumet,0,,"Calumet, Michigan",0,0
Pennsylvania,Avis,0,,"Avis, Pennsylvania",0,0
Florida,South Pasadena,28,,"South Pasadena, Florida",0,0
Indiana,Seymour,0,,"Seymour, Indiana",0,0
Vermont,Manchester,0,,"Manchester, Vermont",0,0
Kansas,Ellis,0,,"Ellis, Kansas",0,0
West Virginia,Ceredo,0,,"Ceredo, West Virginia",0,0
Washington,Eatonville,0,,"Eatonville, Washington",0,0
Utah,Cedar Hills,0,,"Cedar Hills, Utah",0,0
Mississippi,Waynesboro,0,,"Waynesboro, Mississippi",0,0
Iowa,Shenandoah,0,,"Shenandoah, Iowa",0,0
Indiana,Battle Ground,0,,"Battle Ground, Indiana",0,0
Oklahoma,Paden,0,,"Paden, Oklahoma",0,0
Kansas,Oberlin,0,,"Oberlin, Kansas",0,0
Texas,Timpson,0,,"Timpson, Texas",0,0
Indiana,Goshen,28,,"Goshen, Indiana",0,0
South Dakota,North Sioux,0,,"North Sioux, South Dakota",0,0
New York,Massapequa Park,0,,"Massapequa Park, New York",0,0
Pennsylvania,Rutledge,0,,"Rutledge, Pennsylvania",0,0
Iowa,Knoxville,0,,"Knoxville, Iowa",0,0
New Jersey,Lodi,0,,"Lodi, New Jersey",0,0
Colorado,Kersey,0,,"Kersey, Colorado",0,0
Colorado,Julesburg,0,,"Julesburg, Colorado",0,0
Illinois,Staunton,37,,"Staunton, Illinois",0,0
West Virginia,Terra Alta,0,,"Terra Alta, West Virginia",0,0
Tennessee,Gruetli-Laager,0,,"Gruetli-Laager, Tennessee",0,0
Arkansas,Brinkley,0,,"Brinkley, Arkansas",0,0
New Jersey,Oaklyn,0,,"Oaklyn, New Jersey",0,0
Alaska,Klawock,0,,"Klawock, Alaska",0,0
Texas,Flatonia,0,,"Flatonia, Texas",0,0
Pennsylvania,Bristol,32,,"Bristol, Pennsylvania",0,0
New Jersey,Peapack And Gladstone,0,,"Peapack And Gladstone, New Jersey",0,0
Tennessee,Troy,0,,"Troy, Tennessee",0,0
Texas,Hidalgo,0,,"Hidalgo, Texas",0,0
Louisiana,Port Allen,0,,"Port Allen, Louisiana",0,0
Iowa,Shell Rock,66,,"Shell Rock, Iowa",0,0
Washington,Pacific,0,,"Pacific, Washington",0,0
Florida,Biscayne Park,0,,"Biscayne Park, Florida",0,0
Michigan,Marcellus,0,,"Marcellus, Michigan",0,0
Tennessee,Forest Hills,86,,"Forest Hills, Tennessee",0,0
Oklahoma,Martha,0,,"Martha, Oklahoma",0,0
Arkansas,Rector,0,,"Rector, Arkansas",0,0
Mississippi,Gloster,0,,"Gloster, Mississippi",0,0
Illinois,Pana,0,,"Pana, Illinois",0,0
Washington,Raymond,0,,"Raymond, Washington",0,0
Pennsylvania,Emmaus,0,,"Emmaus, Pennsylvania",0,0
Utah,Apple Valley,0,,"Apple Valley, Utah",0,0
Michigan,Athens,0,,"Athens, Michigan",0,0
Tennessee,Wartburg,0,,"Wartburg, Tennessee",0,0
Montana,Butte-Silver Bow,0,,"Butte-Silver Bow, Montana",0,0
Tennessee,Wartburg,0,,"Wartburg, Tennessee",0,0
New Jersey,Surf City,0,,"Surf City, New Jersey",0,0
West Virginia,Follansbee,0,,"Follansbee, West Virginia",0,0
New Jersey,Spring Lake,0,,"Spring Lake, New Jersey",0,0
Iowa,Nevada,0,,"Nevada, Iowa",0,0
New York,Kiryas Joel,0,,"Kiryas Joel, New York",0,0
Maryland,New Windsor,0,,"New Windsor, Maryland",0,0
Illinois,Franklin Grove,0,,"Franklin Grove, Illinois",0,0
Arkansas,West Fork,0,,"West Fork, Arkansas",0,0
Ohio,Bexley,0,,"Bexley, Ohio",0,0
Indiana,Princes Lakes,0,,"Princes Lakes, Indiana",0,0
Nebraska,Crofton,0,,"Crofton, Nebraska",0,0
Louisiana,Mooringsport,0,,"Mooringsport, Louisiana",0,0
Illinois,North Barrington,0,,"North Barrington, Illinois",0,0
Pennsylvania,Abbottstown,0,,"Abbottstown, Pennsylvania",0,0
New Jersey,East Rutherford,0,,"East Rutherford, New Jersey",0,0
Texas,Stratford,0,,"Stratford, Texas",0,0
California,Colma,0,,"Colma, California",0,0
Tennessee,Tellico Plains,0,,"Tellico Plains, Tennessee",0,0
Ohio,Heath,0,,"Heath, Ohio",0,0
Indiana,Bluffton,54,,"Bluffton, Indiana",0,0
Illinois,Gardner,80,,"Gardner, Illinois",0,0
Minnesota,Dundas,0,,"Dundas, Minnesota",0,0
Oklahoma,Cashion,0,,"Cashion, Oklahoma",0,0
Arkansas,Heber Springs,0,,"Heber Springs, Arkansas",0,0
New Jersey,Dumont,0,,"Dumont, New Jersey",0,0
Oklahoma,Stilwell,0,,"Stilwell, Oklahoma",0,0
Oklahoma,Medicine Park,0,,"Medicine Park, Oklahoma",0,0
North Carolina,Stokesdale,0,,"Stokesdale, North Carolina",0,0
California,Montague,58,,"Montague, California",0,0
California,Foster City,17,,"Foster City, California",0,0
Michigan,Shelby,0,,"Shelby, Michigan",0,0
West Virginia,Clendenin,78,,"Clendenin, West Virginia",0,0
Ohio,Van Wert,0,,"Van Wert, Ohio",0,0
Wyoming,Star Valley Ranch,0,,"Star Valley Ranch, Wyoming",0,0
Delaware,Milford,0,,"Milford, Delaware",0,0
Iowa,Sibley,0,,"Sibley, Iowa",0,0
Washington,Elma,0,,"Elma, Washington",0,0
Kansas,Chanute,0,,"Chanute, Kansas",0,0
New Jersey,Belmar,0,,"Belmar, New Jersey",0,0
New York,Larchmont,0,,"Larchmont, New York",0,0
Arkansas,Paragould,0,,"Paragould, Arkansas",0,0
Illinois,Virginia,0,,"Virginia, Illinois",0,0
West Virginia,Ansted,0,,"Ansted, West Virginia",0,0
California,Dana Point,66,,"Dana Point, California",0,0
Ohio,Archbold,0,,"Archbold, Ohio",0,0
South Dakota,Beresford,0,,"Beresford, South Dakota",0,0
North Carolina,Belville,91,,"Belville, North Carolina",0,0
Iowa,Greene,63,,"Greene, Iowa",0,0
Michigan,Lansing,0,,"Lansing, Michigan",0,0
Arkansas,Paris,0,,"Paris, Arkansas",0,0
Utah,River Heights,0,,"River Heights, Utah",0,0
Pennsylvania,Bellwood,0,,"Bellwood, Pennsylvania",0,0
Georgia,Dacula,71,,"Dacula, Georgia",0,0
Colorado,Georgetown,0,,"Georgetown, Colorado",0,0
Missouri,Rock Port,0,,"Rock Port, Missouri",0,0
Texas,Lowry Crossing,0,,"Lowry Crossing, Texas",0,0
North Carolina,Elizabethtown,96,,"Elizabethtown, North Carolina",0,0
Florida,Fort Myers Beach,0,,"Fort Myers Beach, Florida",0,0
Mississippi,Okolona,0,,"Okolona, Mississippi",0,0
Indiana,Montpelier,76,,"Montpelier, Indiana",0,0
New Jersey,Edgewater,0,,"Edgewater, New Jersey",0,0
Missouri,Concordia,0,,"Concordia, Missouri",0,0
Delaware,Seaford,0,,"Seaford, Delaware",0,0
Ohio,Glouster,0,,"Glouster, Ohio",0,0
Idaho,Shelley,0,,"Shelley, Idaho",0,0
Kansas,Downs,0,,"Downs, Kansas",0,0
Pennsylvania,Ivyland,0,,"Ivyland, Pennsylvania",0,0
Michigan,Tekonsha,0,,"Tekonsha, Michigan",0,0
Mississippi,Magnolia,0,,"Magnolia, Mississippi",0,0
Ohio,Martins Ferry,0,,"Martins Ferry, Ohio",0,0
Florida,Dundee,0,,"Dundee, Florida",0,0
Indiana,Montgomery,0,,"Montgomery, Indiana",0,0
New Jersey,Highland Park,0,,"Highland Park, New Jersey",0,0
Pennsylvania,Mount Carmel,0,,"Mount Carmel, Pennsylvania",0,0
Ohio,Piqua,0,,"Piqua, Ohio",0,0
Ohio,Elmore,0,,"Elmore, Ohio",0,0
New Mexico,Bosque Farms,0,,"Bosque Farms, New Mexico",0,0
New Jersey,Park Ridge,0,,"Park Ridge, New Jersey",0,0
Georgia,Folkston,0,,"Folkston, Georgia",0,0
New Jersey,Bogota,0,,"Bogota, New Jersey",0,0
New Jersey,Wanaque,0,,"Wanaque, New Jersey",0,0
Texas,Cumby,69,,"Cumby, Texas",0,0
California,Foster City,17,,"Foster City, California",0,0
Ohio,Middletown,0,,"Middletown, Ohio",0,0
Maryland,Brookeville,0,,"Brookeville, Maryland",0,0
Florida,Lake Hamilton,0,,"Lake Hamilton, Florida",0,0
Delaware,Milford,0,,"Milford, Delaware",0,0
Illinois,Alorton,0,,"Alorton, Illinois",0,0
Minnesota,Bemidji,0,,"Bemidji, Minnesota",0,0
Arkansas,Sheridan,0,,"Sheridan, Arkansas",0,0
Ohio,Brooklyn Heights,0,,"Brooklyn Heights, Ohio",0,0
Tennessee,Walden,0,,"Walden, Tennessee",0,0
Iowa,Guthrie Center,0,,"Guthrie Center, Iowa",0,0
Colorado,Georgetown,0,,"Georgetown, Colorado",0,0
Michigan,Climax,0,,"Climax, Michigan",0,0
